tweet_author,overall_polarity
Hematopoiesis News,negative
"Michael Wang, MD",negative
1stOncology,negative
Toby Eyre,positive
Lymphoma Hub,positive
David Ledger,negative
N Wales Cancer Forum,negative
European Pharmaceutical Review,negative
Graham Collins,positive
CLL Ireland,negative
Mice Ideas,negative
Farooq A Wandroo,positive
Leukaemia Care,positive
Helen Oram,negative
HealthWatch,negative
PHARMABOX.IN,negative
Pharma Trader,negative
Everything Pharma,negative
IJPSonline,negative
Iceberg Vision,negative
PharmaTimes,negative
Paperbirds_Hematology,negative
Pharma News,positive
CLL Ireland,negative
pharmaphorum,negative
Toby Eyre,positive
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Lymphoma Hub,negative
Trip Database,negative
Osgood,positive
Paperbirds_Hematology,negative
Thiago Carvalho,negative
Kartos Therapeutics,negative
Apoli Naria,negative
"Michael Wang, MD",positive
Cardio-Targets,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Cardio-Targets,negative
Paperbirds_Hematology,negative
Jeff Sharman,positive
Paperbirds_Hematology,negative
IM Médico,negative
FirstWord Pharma,positive
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
"Tom Henry, MBA, RPh, CPh",negative
Medivizor,negative
mednetnews,negative
AJMC,negative
Patient Worthy,negative
Paperbirds_Hematology,negative
Cat,negative
Hemalatha Rangarajan MD,negative
mednetnews,negative
Bita Fakhri,negative
NCPE,negative
JOURNAL ONKOLOGIE,negative
Oncology Learning Network,negative
Oncology Learning Network,negative
OncLive.com,negative
Medivizor,negative
TrialSite News,negative
Trip Database,negative
Lyfebulb,negative
OncLive.com,negative
The Medical Ed Cons.,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
CarnivoresHealth,negative
Portfolio Penny,negative
FancyFinancy,negative
Robo Schmobo,negative
Financial Carnivores,negative
Lymphoma Hub,negative
NetCancer,negative
DMGAZ,negative
Amit Patel🇬🇧,negative
Blood Advances,negative
The Medical Ed Cons.,negative
Silas Inman,negative
OncLive.com,negative
Targeted Oncology,negative
AnalySource: Premier Drug Pricing Services,negative
Helix BioPharma,negative
AlphaBronze,negative
TrialSite News,negative
Plexus Ventures,negative
Toby Eyre,negative
Paperbirds_Hematology,negative
BiopharmaAsia,negative
1stOncology,negative
1stOncology,negative
Bio_Talent,positive
1stOncology,negative
Roberto Bonin,negative
Taro Shiga,negative
Susan,positive
BioCentury,negative
Endpoints News,negative
Pharma Top News,negative
OncLive.com,negative
FiercePharma,positive
Benlazar S.M Aminé,negative
WebWire,negative
Tecnomedicina,negative
HemOnc Today,positive
BrainSights iOS App,negative
Dr Timos Papagatsias,positive
NewExpressNews,positive
BioPharma Dive,negative
Market Intelligence: Healthcare,negative
Ben Fidler,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,positive
PHARMABOX.IN,positive
cafepharma,negative
Calgary Herald,negative
Endpoints News,negative
David Ledger,positive
Biotech & Tech Stock Focus,positive
Dr Timos Papagatsias,negative
Corporate News,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Paperbirds_Hematology,negative
InvestorsObserver,negative
Devdiscourse,negative
Company News HQ,negative
CHItraders,positive
****,negative
Briefing.com,negative
Quant Data,negative
PharmaTimes,positive
"OTC Dynamics, Inc.",negative
Latest News from Business Wire,negative
IMPharma News,negative
Crwe World,negative
AstraZenecaUS,negative
Stock Titan,negative
Gordon Gekko,positive
Investor News,positive
Stocks tweets,positive
Breaking News,positive
Soumyajyoti Biswas,positive
pharmaphorum,negative
Shifting Wealth,negative
dough,negative
Shifting Wealth,negative
FinanzLinksRatings,negative
FinanzLinksRatings,negative
PHARMABOX.IN,positive
LifeProNow-Pharma-Research and News,negative
Josekun,negative
Josekun,positive
Jan Ehses,negative
Jan Ehses,negative
Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,negative
Golden Casino News,negative
Golden Casino News,negative
Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,positive
Sharecast.com,positive
EIN Presswire: Pharmaceutical Newswire,positive
Value's Vector,negative
Devdiscourse,negative
Devdiscourse,negative
Mathan,negative
Cision News,negative
Cision News,negative
Company News HQ,negative
Cision News,negative
Cision News,negative
LiveSquawk,negative
TYR Kinase papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Health Radio Online,negative
Medivizor,positive
Aaron Goodman - “Papa Heme”,negative
